id,post_id,author_handle,content_text,fetched_at
tt_7077393816063446274_7081186229504803585,tt_7077393816063446274,sport_or_you,lên ngân hàng cho 😅tiện,1781335838
tt_7077393816063446274_7079327451683652353,tt_7077393816063446274,tienthinhnguyen19,[cry],1781335838
tt_7077393816063446274_7115361168316138267,tt_7077393816063446274,huukiet27_10,Ủa alô tạp hoá 😂,1781335838
tt_7077393816063446274_7080847849550070529,tt_7077393816063446274,dypmucnna7de,chuẩn không cần chỉnh 🥰,1781335838
tt_7077393816063446274_7113916653197067035,tt_7077393816063446274,tomyfet2,không tiền sao mua😂,1781335838
tt_7077393816063446274_7116877835591254810,tt_7077393816063446274,tuankhai423,đã có vilaaphone =),1781335838
tt_7077393816063446274_7116962819233530650,tt_7077393816063446274,tuanmanme_0611,Không có tiền thì sao,1781335838
tt_7077393816063446274_7129880360834106138,tt_7077393816063446274,marcusvmla,nạp bằng thẻ cào đc ko ạ:{{,1781335838
tt_7077393816063446274_7080435801603293954,tt_7077393816063446274,dangfa,92,1781335838
tt_7041086943555259649_7041800237312787202,tt_7041086943555259649,songnganskop,làm sao ta,1781335838
tt_7041086943555259649_7042500646033588994,tt_7041086943555259649,tronqkhanh4m,Nhưng mà sợ vụ bảo mật của mấy cái ví điện tử ghê =((,1781335838
tt_7041086943555259649_7045460969703097090,tt_7041086943555259649,dyhj1slcd7c5,"Cái chế độ chuyển tiền này là mạ mình chỉ mình dùng nè, chứ mình thì ko biết luôn ="">",1781335838
tt_7041086943555259649_7045285639449002754,tt_7041086943555259649,trieulinhnhi865,"Nhớ lại có lần any bao đi cà phê, uống cho đã xong kêu chia đơn, cái mặt t lúc đó y chang mặt ông áo sơ mi",1781335838
tt_7041086943555259649_7045464183890428673,tt_7041086943555259649,dyji9mpx8yao,"Máy t có hẳn cái folder để ví, có mỗi cái xalopay này thì nằm trong folder chat :v @Chi Chi82899",1781335838
tt_7041086943555259649_7045464466984747777,tt_7041086943555259649,thanhluan4554,hổm cũng ủa như ông này,1781335838
tt_7041086943555259649_7045462336748585729,tt_7041086943555259649,dyk42qehx9hf,"Nếu kb zl rồi thì chuyển tiện hơn, còn bth thì vẫn phải chuyển qua tk ví",1781335838
tt_7041086943555259649_7044887761786405634,tt_7041086943555259649,trantrang6561,"@Quang Vinh E dùng qua chưa? Chỉ t, mốt đi chơi khỏi đem theo tiền",1781335838
tt_7041086943555259649_7114199507889292058,tt_7041086943555259649,mr.phuoctri84,mình kiếm đc rồi mà góp cho từ thiện hết cả rồi bây giờ phải đợi cho có sự kiện mới có tiền 😅,1781335838
tt_7041086943555259649_7114873007201927937,tt_7041086943555259649,nkauj_hmooblis,chị cách,1781335838
tt_7041086943555259649_7045285844995408642,tt_7041086943555259649,kieunhu6305,nhìn là biết anh này thầu chầu cafe nên tâm lý lúc nào cũng hoang mang,1781335838
tt_7041086943555259649_7109634894972044059,tt_7041086943555259649,namhb1997,vậy rút tiền kiểu j,1781335838
tt_7041086943555259649_7045461252558127874,tt_7041086943555259649,dyj6j65deekf,"@Thi Thi62687 app có sẵn, mà t đi tải về nữa :)",1781335838
tt_7041086943555259649_7042632042999874305,tt_7041086943555259649,minhvuong33,cứ viettel pay mà chơi an toàn tiết kiệm,1781335838
tt_7041086943555259649_7045461569425703681,tt_7041086943555259649,dy96y31neta8,@Ky Duyen418 lúc t hỏi m cũng tl y chang vầy =)),1781335838
tt_7041086943555259649_7045463639465755394,tt_7041086943555259649,thiyvy2,"Đỡ tốn dung lượng ="">",1781335838
tt_7041086943555259649_7043004673644872449,tt_7041086943555259649,camidiudang,cũng giống như wechat bên tung của,1781335838
tt_7041081001715436802_7220754935100195610,tt_7041081001715436802,nhanbe1999,Sao của mình chuyển mất phí ạ,1781335838
tt_7041081001715436802_7044038769356063490,tt_7041081001715436802,nthinh_o,cường đã đến rồi đây😂😂,1781335838
tt_7041081001715436802_7042234356730970881,tt_7041081001715436802,bacsitribenhquangcao,cháu ổn chứ,1781335838
tt_7041081001715436802_7041769017148850945,tt_7041081001715436802,usery300nqq49b,Phí chuyển tiền trông nhỏ nhỏ vậy mà tích lại cũng được mấy ly trà sữa một tháng đó chời,1781335838
tt_7041081001715436802_7042120428718097154,tt_7041081001715436802,g_shot17,quảng cáo hay dìm ng ta vậy😂,1781335838
tt_7041081001715436802_7532561184609305352,tt_7041081001715436802,hthivi_2711,Làm kiểu gì mà không mất phí ạ,1781335838
tt_7041081001715436802_7042504808670348034,tt_7041081001715436802,dylf086hzu8e,sr nhưng t chỉ để ý mỗi cục nọng của bà chị y chang m @t,1781335838
tt_7041081001715436802_7112064905951642394,tt_7041081001715436802,pethmdthw,tao ko tải đấy,1781335838
tt_7041081001715436802_7043972777044394754,tt_7041081001715436802,gaukinhdij,tao kìa bây,1781335838
tt_7041081001715436802_7041612332761400066,tt_7041081001715436802,tomatothichkeoholo,zalo pay ok mà mình dùng từ 2017 lun. quá là tiện thấy giao diện đơn giản dễ dùng,1781335838
tt_7041081001715436802_7041557099855463170,tt_7041081001715436802,ztuzin2008,hàng free nghe cũng thích =))) mà sợ charge thêm lum la phí khác,1781335838
tt_7041081001715436802_7044052675805463297,tt_7041081001715436802,hieu1873,cường độ nè,1781335838
tt_7041081001715436802_7083109358602584833,tt_7041081001715436802,hahp1999vb,có cần hình ảnh cmt ko,1781335838
tt_7041081001715436802_7600724294243664658,tt_7041081001715436802,muayvua2010,trời ơi zalopay của tui lấy phí nhiều quá không dùng nổi nữa 😵,1781335838
tt_7077394521717247233_7078442961180295938,tt_7077394521717247233,qi_banh_bao234,vãi cả thẻ cào trả giá😂😂,1781335838
tt_7077394521717247233_7078842009729008385,tt_7077394521717247233,userdasnake,Có bán thẻ cào 100k giá 50k (*lưu ý: thẻ chỉ mới sử dụng 1 lần vẫn còn rất mới) bà con mại vô,1781335838
